Z,T,Y,spillover_estim
0.15416284237967237,0.0,1.20883757630648,0.8181818181818182
0.7400496965154048,1.0,2.0555867567956825,0.65625
0.26331501518513467,1.0,2.254099980921678,0.8695652173913043
0.5337393933802977,0.0,0.3500382430277986,0.6666666666666666
0.014574962485419674,0.0,1.0161463794600198,0.625
0.918747008099885,1.0,1.6513863379958629,0.5
0.9007148541170122,1.0,2.609160746124325,0.7058823529411765
0.03342142762634459,0.0,0.6656152848559412,0.6923076923076923
0.9569493362751168,1.0,2.3867917303219746,0.8333333333333334
0.13720932135607644,1.0,3.1445475902791062,0.5714285714285714
0.28382835295794584,0.0,0.48491689325477383,0.5
0.6060831843588289,1.0,2.688465527280554,0.8461538461538461
0.9442251360530421,1.0,3.361768412448627,0.8695652173913043
0.852735541109285,1.0,1.9118178072298442,0.6666666666666666
0.002259233518513537,1.0,2.2616727133551513,0.5882352941176471
0.5212260272202929,1.0,2.0917300807545525,0.631578947368421
0.5520376332645666,1.0,2.7249620384198194,0.6666666666666666
0.4853774136627097,1.0,1.6193519312188662,0.5909090909090909
0.7681341540644223,0.0,0.8089246059327283,0.5555555555555556
0.1607167531255701,0.0,1.5837967961232318,0.8181818181818182
0.7645604503388788,1.0,2.682163268895062,0.6666666666666666
0.020809797952066167,0.0,0.5346773309746273,0.4444444444444444
0.13521017836911686,1.0,2.1947211698225613,0.7391304347826086
0.11627301740168983,0.0,1.1799393499570208,0.8
0.30989758449002924,0.0,0.3993841335483518,0.6666666666666666
0.6714526452120027,1.0,1.1647859055135914,0.6
0.4712297782500141,1.0,0.6303515230524503,0.0
0.8161682980460269,0.0,-0.07787882748505226,0.0
0.28958678353055356,0.0,-0.21968068898514703,0.6
0.7331259776126706,1.0,2.0344105875298717,0.625
0.7026223552552463,1.0,2.1259201948480655,0.6875
0.32756947626342303,0.0,0.8079648888490498,0.5
0.3346475291060558,0.0,1.1421355033139313,0.7
0.9780580790165189,1.0,2.3945743299136804,0.6086956521739131
0.6245821117353524,1.0,2.207307492044248,0.7096774193548387
0.9503135246995253,1.0,2.57027289533483,0.5833333333333334
0.7674756506204887,0.0,0.9159325554375621,0.6470588235294118
0.8250092532147735,1.0,1.9680811094114166,0.5
0.40664030180666166,1.0,2.0643484748769025,0.64
0.4513084114213143,1.0,1.7998357288599627,0.6875
